model,rmse,mae,r2
Linear Regression,5.197020930081441,2.325707438480243,0.709336450121143
Decision Tree Regression,4.469298134378444,2.210229980979306,0.7850386930335148
Random Forest Regression,4.607726695302883,2.377892945695515,0.7715163836213366
